username,comment,
@menjeng9145,"Pecat UYA KUYA,EKO PATRIO,nggak  pantas menjabat jadi anggota DPR, muak nggak pantas juga di jadikan wakil rakyat",
@AyiDarhim,"Saya sudah kecewa sama DPR, banyak habisin anggaran,   coba kalau undang undang perampasan aset di sah kan , lama banget padahal itu aspirasi rakyat kenapa tidak di dengar",
@meimeichanel9037,"mudah mudahan dari Sabang sampai Merauke saudara saudara kami hatinya bergerak utk meruntuhkan kebijakan kebijakan DPR yg laknat, mari bersatu wahai rakyat indonesia",
@maidasafabakti835,"Ibu puan, bangsa ini bukan cuma para pejabat, rakyat juga pengen hidup sejahtera aman dan nyaman",
@AdeSuhanda-wy5mv,"Awalnya cari suara bak malaikat yg super baik dgn janji ,manisnya,begitu dah jd berubah jd pampire penghisap darah",
@servisjetpam123,"Trimakasih untuk semua mahasiswa dan masyarakat yg demo semoga selamat dancsukses,",
@IwanSusanto-hc4qq,"Kata nya bebas menyampaikan aspirasi kok gak di fasilitasi kok malah di pukul mundur 
Dimana kebebasan nya",
@channel-fc3sy,DPR TIDAK MEWAKILI RAKYAT. RAKYAT MAU SAH KAN HUKUMAN MATI BUAT KORUPTOR TAPI DPR GA BERANI !! PERCUMA DPR ADA LEBIH BAIK BUBAR AJA LAH,
@MhdkhalidPmh,"LANJUTKAN DEMOKRASI PANCASILA UNTUK "" KEADILAN SOSIAL BAGI SELURUH RAKYAT INDONESIA""",
@DarMawan-mu1vk,"Teruskan perjuanganmu kawan,sekarang rakyat dibebani berbagai masalah,katanya berpihak kepada rakyat nyatanya ,",
@addyMawar,DPR RI gak tau malu bukan ngurusin rakyat malah uang di otaknya  RUU perampasan aset di sahkan berani gakkk,
@WisonGp,"Kami ingin masyarakat yang sejahtera dan bebas dari kemiskinan, jgn hanya dpr yg sejahtera.",
@nasirinrin5459,"Gusdur dijatuhkan (dibubarkan) oleh MPR/DPR tanpa konstitusi.
Salahkah jika rakyat menuntut pembubaran MPR/DPR tanpa konstitusi?
Rakyat butuh keteladanan, bukan sekedar ucapan manis.",
@Erwinmalokmrm,"terimakasih saudara saudaraku SDH menyuarakan isi hati dan jerit tangis rakyat kecil 
wahai para DPR apakah kalian TDK malu seluruh elemen masyarakat SDH muak dgn kalian",
@suryantobarus-qy8xg,Ini omon omon kenapa tidak hadir ditengah tengah masyarakat yang sedang menyampaikan aspirasinya buktinya mereka lari semua dan bersembunyi,
@MrTanu-g2j,"Faktanya UU rampasan aset koruptor belum di sahkan juga, kenapa ada apa",
@akmaludinjamal8020,Hai buk idak perlu mengajak masyarakat memperbaiki. Yg harus di perbaiki kenerja kalian. Apa bukti kerja DPR belum terbukti bagi masyarakat.,
@braveheart2679,Turunkan DPR dan turunkan pungutan pajak!!!! Rakyat menjerit terhimpit beban hidup dilain pihak anggota DPR malah joget joget menikmati kenaikkan tunjangan dan fasilitas.,
@permanasidhi8990,Semoga diliput media asing. Biar Indonesia makin terkenal,
@rachmanprojectggs4003,"Tunjukkan kinerja nyata untuk  rakyat pasti rakyat senang ,bukan kerja asal ketum Partai  senang",
@MIALHudaKhomsunMaarif,"3 kali gaji UMR sudah cukup seharusnya untuk hidup mereka, apa apaan minta rumah sampai diganti tunjangan, pajak gratis, beras disuplai 12 juta (lu mau bikin toko sembako?), istri dan anak ditanggung negara, listrik dapat bantuan sampai 7 juta,  MEREKA BUKAN DARI KELAS RAKYAT JELATA SAMPAI DAPAT SEGITU BANYAK",
@rizkiramadhan8975,Perampasan aset bagaimana?,
@muhammadrofik3654,"Bersenang senang diatas penderitaan Rakyat, sangat zholim. Hukum Allah menunggumu.",
@Zyraurgf,"kita gk percaya kalo anggota DPR memperjuangkan aspirasi rakyat
buktinya apa² yg dimiliki rakyat kena pajak, uu koruptor blm jg di sah kan dan sebaliknya anggota DPR dpt tunjangan diluar nalar dan hidup bermewah mewah tp minim kerja",
@arminfachry463,"Jangan berharap rakyat mau lgi memilih namanya DPR,, 2029 DPR tdk ada lagi.",
@PakBot-n8c,Sebaiknya batalkanlah dulu tunjangan DPR RI dan ruu aset negara juga cepat disahkan.,
@OsokOge,"Rakyat indonesia sangat cerdas
DPR harus intrupeksi diri tdk di butuhkan oleh rakyat",
@Mashariraya,"Sebaiknya aparat gak usah ikut menghadang massa

Biarkan DPR berhadapan dengan rakyat",
@TotokSuparmo,Klo DPR tdkbisamerubahkelakuanya danselalu memihak ke rakyat idak masalah untuk  tunjangan tapi apa kerja DPR saat ini,
@Isrofiah-c8q,"Sudah seharusnya,boikot pemilihan anggota DPR,karena adanya DPR hanya mnjadi beban masyarakat.",
@induttttzzz,"gak usah dihapus tunjangan, cukup bubarin aja dpr. kalau tidak, org-org ini akan cari celah buat makanin uang rakyat lagi dan lagi. lagipula gak mewakili rakyat",
@rohanarohana1411,"Sya sudah instruksikan ke seluruh keluarga sy,,,,2029 ga usah nyoblos",
@tumirantumiran-ov7wu,"Tunjangan Dewan hapus saja, DPD hilangkan, Kembalikan UUD 45 ke asalnya dengan perbaikan yang pasti dan berpihak pada rakyat",
@emasemas2482,Trimakasih banyak para pendemo yg udh mewakili aku tadi aku seorang TKW Jeddah Saudi Arabia cumn bisa bilang trimakasih banyak dn cumn bisa mendoakan semoga kalian pda sehat selalu dan semoga pda selamat dlm mewakili kita,
@SamsungS02-p4b,"Kita masyarakat indonesia kita stop secara massa tidak usah bayar pajak, kita lihat apa jadinya pemimpin negara ini.",
@HeryDody,"Sekalian dprnya aja dihapus
Dah nga guna",
@SiholSiahaan-g4f,Tak layak DPR dapat Pensiun kerja cuma 5tahun.Pegawai P3K kerja berpuluh tahun tak dapat Pensiun.tak adil melanggar HAM.Sahkan UU PerampasanAset.Buktikan DPR Bekerja Sahkan UUnya.TurunkanPajak Rakyat danPajak PNS.,
@mrdendi4787,"Terima kasih mahasiswa,lanjutkan perjuanganmu",
@mnorbek7189,"Batalkan tunjangan DPR, kalau perlu hapus gajih DPR. Kalau tidak digajih apa mau mereka berjuang untuk rakyat",
@ErieWidjoyoHartanto,Bikin aja aturan dpr gk usa digaji kerja hrus rela dan iklas demi rakyat,
@AkuTau-p8m,Semua tidak tau tapi yg menguntungkan tau bahkan joket joket kaya dapat togel bubar ajalah.,
@dhalia-t5l,klo pngn ngontrak yg dket kantor dpr y byar sndiri lah kn udah pnya gaji knpa smua kbutuhan dpr hrz rakyat yg ngasi klo dpr krja bwat rakyat bukti ny mna  nyata ny rakyat msih bnyk yg jdi pngangguran dn bnyk yg klaparan kontrakan mu pngn di byarin sma rakyat sdangkan rakyat ny aja bnyk yg gk pnya ruma bwat byar kontrakan pn gk bsa  bnyk yg tdur di jlan dn di kolong jmbaran gk mkir ksitu apa y,
@zoli6664,Aspirasi masyarakat Jangan hanya di hormati tapi harus di jalani,
@nadiatulmuyassiroh4804,Apakah kalian para DPR menghormati kami sebagai rakyat ?,
@jujendrajujendra,mimpi rasanya bagi masyarakat kalau RUU perampasan aset koruptor di sah,
@leoallo9054,Kalau masalah cuan berapapun besarnya bagi anggota DPR tidak akan pernah cukup karena akan berusaha membalikkan modal yg ash keluar. Jadi mau duduk di DPR maunya dgn gratis tanpa biaya ttp mau disebut terhormat. Apa sih yg sdh dihasilkan anggota DPR bagi rakyat yg saat ini semua lagi terpuruk.,
@zuzanti6458,Pajak naik rakyat gak makan gaji kecil byk yg nganggur DPR itu di jelaskan juga apa yg JD kewajiban mereka pak,
@effendirajagukguk9772,"Bisa juga disebut telah dihapus Fasilitas Perumahan, namun bisa saja kita dikadali dan tetap menambahkan Tunjangan tsb ke Gaji pokok. Dan Uang Pensiun Seumur Hidup adalah beban Rakyat. Dimana bekerja 5 tahun, namun Pensiun Seumur hidup",
@NanankSuprapto,"Kinerja macam apa yg ingin ditingkatkan dgn menaikan tunjangan diri sendiri. Saya pikir negara tidak akan lumpuh tanpa ada DPR. 
Bayangkan negara tanpa anghota DPR mulai pusat sampai daerah, berapa RATUS TRILIUN TERSELAMATKAN.",
